歌曲,#genre#
歌MV33,http://vd4.bdstatic.com/mda-ickhjq8gkcxz55i1/sc/mda-ickhjq8gkcxz55i1.mp4
歌MV34,http://vd4.bdstatic.com/mda-ihkwerpgqm1v3ehy/sc/mda-ihkwerpgqm1v3ehy.mp4
歌MV35,http://vd4.bdstatic.com/mda-jhid37v9u4vny09j/sc/mda-jhid37v9u4vny09j.mp4
歌MV36,http://vd4.bdstatic.com/mda-icpieeuwfuwruijw/sc/mda-icpieeuwfuwruijw.mp4
歌MV37,http://vd4.bdstatic.com/mda-jhtriuc2z5fddtre/sc/mda-jhtriuc2z5fddtre.mp4
歌MV38,http://vd4.bdstatic.com/mda-jepbbqntd414qsem/sc/mda-jepbbqntd414qsem.mp4
歌MV39,http://15799848.s21v.faiusr.com/58/ABUIABA6GAAgueWa4gUo_-2vowI.mp4
歌MV40,http://15799848.s21v.faiusr.com/58/ABUIABA6GAAg3MOv5wUojLD3vgE.mp4
歌MV41,http://15799848.s21v.faiusr.com/58/ABUIABA6GAAg8JWi5wUokMTQ0AE.mp4
歌MV42,http://15799848.s21v.faiusr.com/58/ABUIABA6GAAg2bGM5gUo_NXfoAI.mp4
歌MV43,http://15799848.s21v.faiusr.com/58/ABUIABA6GAAglcSv5wUospmsmQU.mp4
歌MV44,http://15799848.s21v.faiusr.com/58/ABUIABA6GAAggpvX4gUo7e7N8QI.mp4
歌MV45,http://15799848.s21v.faiusr.com/58/ABUIABA6GAAgw_ma4gUouNqBoAQ.mp4
歌MV46,http://15799848.s21v.faiusr.com/58/ABUIABA6GAAgqMGv5wUo2ZSx8QY.mp4
歌MV47,http://15799848.s21v.faiusr.com/58/ABUIABA6GAAg38q04wUomp3jxAQ.mp4
歌MV48,http://vd4.bdstatic.com/mda-ji3nh9t9qpewj26m/sc/mda-ji3nh9t9qpewj26m.mp4
歌MV49,http://15799848.s21v.faiusr.com/58/ABUIABA6GAAg75_b4gUogP7C2QY.mp4
歌MV50,http://15799848.s21v.faiusr.com/58/ABUIABA6GAAg18Cv5wUoy_y7mQE.mp4
歌MV51,http://15799848.s21v.faiusr.com/58/ABUIABA6GAAgzL_v5wUowL3FvAM.mp4
歌MV52,http://15799848.s21v.faiusr.com/58/ABUIABA6GAAgy6yM5gUo7Pnd-QU.mp4
歌MV53,http://15799848.s21v.faiusr.com/58/ABUIABA6GAAghMCv5wUoqteI8gM.mp4
歌MV54,http://15799848.s21v.faiusr.com/58/ABUIABA6GAAg-JfV4gUol9ea6QM.mp4
歌MV55,http://15799848.s21v.faiusr.com/58/ABUIABA6GAAg0f2a4gUonvrdrgI.mp4
MV-若是爱情,https://res.zhipianbang.com/videos/2021/1223/d9b81e9bd91b8908b6426d02d5798483.mp4
追光者,https://v.51vimeo.com/ata/attachment/video/1908/417/ba723fe0466d90f84948f081ae6bfd17.mp4
在站高原,http://song.mvbox.cn/mv1/74/00173474.mp4
大风车,http://song.mvbox.cn/mv1/14/00186314.mp4
勇气,http://song.mvbox.cn/mv1/90/90402590.mp4
因为你,http://song.mvbox.cn/mv1/34/90395634.mp4
芒种,http://song.mvbox.cn/mv1/39/90398939.mp4
万泉河水清又清,http://mobi.kuwo.cn/tmevideo/tme1256412.mp4
不知所措,http://mobi.kuwo.cn/tmevideo/tme1257694.mp4
为你而来,http://mobi.kuwo.cn/tmevideo/tme1257458.mp4
为爱停留,http://mobi.kuwo.cn/tmevideo/tme1257125.mp4
你的万水千山,http://mobi.kuwo.cn/tmevideo/tme1257697.mp4
借口,http://mobi.kuwo.cn/tmevideo/tme1257032.mp4
偏偏喜欢你,http://mobi.kuwo.cn/tmevideo/tme1257667.mp4
光明1920*1080,http://mobi.kuwo.cn/tmevideo/tme1257658.mp4
光辉岁月,http://mobi.kuwo.cn/tmevideo/tme1259594.mp4
关不上的窗,http://mobi.kuwo.cn/tmevideo/tme1257637.mp4
十送红军,http://mobi.kuwo.cn/tmevideo/tme1254164.mp4
山歌好比春江水,http://mobi.kuwo.cn/tmevideo/tme1255423.mp4
山路十八弯,http://mobi.kuwo.cn/tmevideo/tme1254288.mp4
幸福祥和,http://mobi.kuwo.cn/tmevideo/tme1257863.mp4
当爱已成往事,http://mobi.kuwo.cn/tmevideo/tme1255161.mp4
心太软,http://mobi.kuwo.cn/tmevideo/tme1258319.mp4
心痛,http://mobi.kuwo.cn/tmevideo/tme1257662.mp4
忘川的河,http://mobi.kuwo.cn/tmevideo/tme1258315.mp4
念相思,http://mobi.kuwo.cn/tmevideo/tme1257674.mp4
我爱你不问归期,http://mobi.kuwo.cn/tmevideo/tme1257659.mp4
我的心在飞,http://mobi.kuwo.cn/tmevideo/tme1257495.mp4
我的楼兰,http://mobi.kuwo.cn/tmevideo/tme1258352.mp4
我相信,http://mobi.kuwo.cn/tmevideo/tme1257653.mp4
明月夜,http://mobi.kuwo.cn/tmevideo/tme1257680.mp4
桥边姑娘,http://mobi.kuwo.cn/tmevideo/tme1257675.mp4
橄榄树,http://mobi.kuwo.cn/tmevideo/tme1255473.mp4
流着泪说分了,http://mobi.kuwo.cn/tmevideo/tme1257269.mp4
眼里着迷,http://mobi.kuwo.cn/tmevideo/tme1257685.mp4
破茧,http://mobi.kuwo.cn/tmevideo/tme1257652.mp4
站着等你三千年,http://mobi.kuwo.cn/tmevideo/tme1256775.mp4
童年,http://mobi.kuwo.cn/tmevideo/tme1257645.mp4
篱笆墙的影子,http://mobi.kuwo.cn/tmevideo/tme1254308.mp4
给你们,http://mobi.kuwo.cn/tmevideo/tme1257672.mp4
英雄泪,http://mobi.kuwo.cn/tmevideo/tme1256769.mp4
虞兮叹,http://mobi.kuwo.cn/tmevideo/tme1257654.mp4
谁会在乎我心碎,http://mobi.kuwo.cn/tmevideo/tme1257120.mp4
过年啦,http://mobi.kuwo.cn/tmevideo/tme1257684.mp4
送亲,http://mobi.kuwo.cn/tmevideo/tme1256752.mp4
醒不来的梦,http://mobi.kuwo.cn/tmevideo/tme1257700.mp4
野摩托,http://mobi.kuwo.cn/tmevideo/tme1257681.mp4
阿刁,http://mobi.kuwo.cn/tmevideo/tme1257529.mp4
阿果吉曲,http://mobi.kuwo.cn/tmevideo/tme1257695.mp4
阿果吉曲1920*1080,http://mobi.kuwo.cn/tmevideo/tme1257647.mp4
青花,http://mobi.kuwo.cn/tmevideo/tme1258321.mp4
饮千杯,http://mobi.kuwo.cn/tmevideo/tme1257065.mp4
在春天里想你,http://15799848.s21v.faiusr.com/58/ABUIABA6GAAg-JfV4gUol9ea6QM.mp4
火红的萨日朗,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgnaLV4gUop5aBpQY.mp4
拥抱着你离去,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg2bGM5gUo_NXfoAI.mp4
你不来我不老,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgnLzE4gUoxaHkBg.mp4
火辣辣的情歌,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgsaTA4gUohOr5ngc.mp4
云朵-我的楼兰,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg88K74gUohZWCnwQ.mp4
半壶纱.刘珂矣,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg1K6M5gUo3ruZrwc.mp4
倍儿美.天喜果,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgxdvE4gUoyPSXzAU.mp4
在唱等你那么久,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg68u04wUoqKv6igY.mp4
甘心情愿爱着你,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgq_2a4gUo686M8wc.mp4
死心塌地去爱你,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgwtjx9wUonPWg5QU.mp4
爱我你就拍拍手,http://15799848.s21v.faiusr.com/58/ABUIABA6GAAg9pWi5wUomPq_3gE.mp4
等你等到我心痛,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg5fTW4gUoypKv_AQ.mp4
如果云知道,http://15799848.s21v.faiusr.com/58/ABUIABA6GAAggpvX4gUo7e7N8QI.mp4
最亲爱的你,http://15799848.s21v.faiusr.com/58/ABUIABA6GAAglpvV4gUo0pn7iAQ.mp4
酒醉的蝴蝶,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgjvvL9QUo3cjNuQY.mp4
你牛什么牛,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg3drE4gUo05Sr5AI.mp4
等到山花开,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAggcOv5wUo4pShggc.mp4
草原情哥哥,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg26rA4gUou4uf7AU.mp4
远走高飞,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgn-zL9QUo4L7HJQ.mp4
老猫-都说,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAghPbQ7AUohPLwrAM.mp4
沙漠骆驼,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgjbGM5gUon8K7eQ.mp4
兄弟难当,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg97nE4gUooPX7tQU.mp4
情路弯弯,http://15799848.s21v.faiusr.com/58/ABUIABA6GAAg1tXE4gUonLmU1wI.mp4
迫不及待,http://15799848.s21v.faiusr.com/58/ABUIABA6GAAg75_b4gUogP7C2QY.mp4
梅花三弄,http://15799848.s21v.faiusr.com/58/ABUIABA6GAAg18Cv5wUoy_y7mQE.mp4
伤心情歌,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgmvmc4gUo8NSjoQI.mp4
泪满天,http://15799848.s21v.faiusr.com/58/ABUIABA6GAAgotjE4gUo8Jvi8Ac.mp4
太想念,http://15799848.s21v.faiusr.com/58/ABUIABA6GAAgwpai5wUo8ODKhQE.mp4
我爱你,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg4sGv5wUo5bvaxwM.mp4
水云涧,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgvLrE4gUon5qCgAU.mp4
套马杆,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgnLvE4gUo8NTRJA.mp4
小苹果,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgy6fE4gUoksb_nwQ.mp4
公虾米,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgnMOv5wUouMCstQQ.mp4
歌在飞,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgl4XG4gUo2IDXsAM.mp4
闯天涯,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgsZ-V4gUo8dCz8wE.mp4
野花香,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg3oaO9wUo4J6WwQU.mp4
邓紫棋,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg197E4gUozOqwrwU.mp4
陈元汐-桃花笑,https://vd2.bdstatic.com/mda-nbg4cz1tc501zby3/sc/cae_h264_delogo/1645068400771569995/mda-nbg4cz1tc501zby3.mp4
故乡的原风景,https://vd2.bdstatic.com/mda-kc4eh79vqhm2gyxh/sc/mda-kc4eh79vqhm2gyxh.mp4
爱于错误年代,https://vd3.bdstatic.com/mda-na34r9kddk8sh6q4/sc/cae_h264_nowatermark/1641283723626864526/mda-na34r9kddk8sh6q4.mp4
孤勇者,https://vd2.bdstatic.com/mda-mmkfweauph7ju2rr/sc/cae_h264_delogo/1643229088196056141/mda-mmkfweauph7ju2rr.mp4
阿梨粤,https://vd3.bdstatic.com/mda-nee8sphdiyar5qfc/sc/cae_h264/1652595644034518917/mda-nee8sphdiyar5qfc.mp4
魔法城堡,https://vd4.bdstatic.com/mda-kfdg3qrczaz60xfk/hd/mda-kfdg3qrczaz60xfk.mp4
大鱼,https://vd2.bdstatic.com/mda-jj0mrjgwdibh8dy1/sc/mda-jj0mrjgwdibh8dy1.mp4
情火,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgwfvL9QUoyKDRhQI.mp4
Beyond_海阔天空,https://vd2.bdstatic.com/mda-jccg84gp61a7n0ms/sc/mda-jccg84gp61a7n0ms.mp4
阿国哥_暂别离,https://vd2.bdstatic.com/mda-na0gq1qdvtc7dn21/sc/cae_h264/1641053414585020942/mda-na0gq1qdvtc7dn21.mp4
大田后生仔_丫蛋蛋,https://vd2.bdstatic.com/mda-jk0s5kte1btis2ez/sc/mda-jk0s5kte1btis2ez.mp4
成都,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgx5ei5wUoqOfenwE.mp4
狂狼,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgsK2M5gUosN7C7QQ.mp4
藕断丝连,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg2-PE4gUogNfRyAM.mp4
火火的爱,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgzsXE4gUorZf38wc.mp4
爱火,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg_8PE4gUo5KSp4gU.mp4
真心.庄心妍,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgkpjx5gUoiPqX3gc.mp4
云朵_天上的云儿,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgnO_a4gUoiNWDoAc.mp4
新年大吉(群星）,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgksy04wUo17eY6Qc.mp4
乌兰托娅_新套马杆,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg8cam4gUosMuzpQY.mp4
乌兰图雅.辣辣的情歌,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgsaTA4gUohOr5ngc.mp4冷漠-谁都不要说分手
我在红尘中遇见你.冷漠张冬玲,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg88vE4gUo0NP7CA.mp4
王蓉.坏姐姐,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgkPu-4gUohMyExQM.mp4
晚秋_欧俪雯,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgzcC2-AUotvbcwAI.mp4
三月里的小雨_依林,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgp-zD-wUoqqKj2wY.mp4
容中尔甲旺姆_天籁之爱,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg7rm64gUo4IeMmgQ.mp
情歌继续上,http://15799848.s21v.faiusr.com/58/ABUIABA6GAAgsdfE4gUo0OGA5wI.mp4
情歌继续唱.龙梅子冷漠,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgsdfE4gUo0OGA5wI.mp4
桥边姑娘_刘燕燕,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg4b_2-AUo7pfgrgc.mp4
你会爱我到什么时候.陶钰玉,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAglNvE4gUou_L0jAc.mp4
门丽_美美哒,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg4cm74gUo4OSj9gU.mp4
没有你陪伴我真的好孤单.冷漠,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgjdHE4gUogP7YjwI.mp4
龙梅子_心要痛到什么时候,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg0P6c4gUogMuVmwQ.mp4
龙梅子_我说亲爱的,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg0P2c4gUo79D9-gU.mp4
龙梅子_泪满天,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgovqc4gUokNPR8QU.mp4
龙梅子_当爱离别时,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgyfmc4gUooLyJ2Ac.mp4
龙猫组合_爱情专属权,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg49ia4gUolMGllwI.mp4
金莎_星月神话,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg_Nea4gUowJ6I4gQ.mp4
回忆的沙漏_邓紫棋,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgqZWi5wUoyvnEDQ.mp4
红尘有缘.安东阳慕容晓晓,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg9u7E4gUokJWWxQE.mp4
后来,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg9_qv4gUo4vCgPQ.mp4
刚好遇见你,http://15799848.s21v.faiusr.com/58/ABUIABA6GAAg3q6M5gUohPidmQc.mp4
风中花雨楼.任妙音,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgypLV4gUo-ZmUhwc.mp4
分手.冷漠,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgwsfE4gUokp27lAQ.mp4
放狠爱.慕容晓晓肖玄,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgpoLG4gUo0JOBggI.mp4
渡红尘.张碧晨,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgkN-64wUorOL7mQI.mp4
丁当_野兽,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg0MOm4gUo-LnKpQE.mp4
邓紫棋_喜欢你,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg6uyj4QUosO5G.mp4
当爱离别时,http://15799848.s21v.faiusr.com/58/ABUIABA6GAAgstTE4gUo856frgY.mp4
单身情歌_黄晓凤,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgjfPW4gUo4umD3QE.mp4
错过了缘分错过你_候俊辉,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgqfLW4gUogNTT1wY.mp4
崔子格老猫_老婆最大,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg29is4gUopvmF8wI.mp4
传奇_黄晓凤,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg9b62-AUomeie4gY.mp4
成龙金喜善_美丽的神话,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg_tma4gUowLvk9wM.mp4
陈慧娴-逝去的诺言,http://bizcommon.alicdn.com/l2nDqpMmn6DGHnWzZQA/i78cWdjCSglPJHDaedL%40%40ld.m3u8
唱着情歌流着泪.孟小笛祁隆,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgtYHG4gUo6KjuzwE.mp4
一生啊,http://mobi.kuwo.cn/tmevideo/tme1257670.mp4
叹这一生,http://mobi.kuwo.cn/tmevideo/tme1258318.mp4
旧梦一场,http://mobi.kuwo.cn/tmevideo/tme1257651.mp4
缘分一道桥,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgw4vG4gUozNe3-QM.mp4
不一样的美,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgmfvL9QUolKvHtQE.mp4
我们不一样,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg4Nfx9wUojcTB7Qc.mp4
一曲相思1,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg4oDG4gUo69_8zAQ.mp4
一生所爱,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgk9aq4gUogIDbxwQ.mp4
一曲相思,https://vdse.bdstatic.com//e547b08ce3afad200eec374f3c4ee450.mp4
0001酒廊情歌【黎亚专辑01】,https://txmov2.a.kwimgs.com/bs3/video-hls/5224738634289133629_hlsb.m3u8
0003酒廊情歌【吉特巴01】,https://txmov2.a.kwimgs.com/bs3/video-hls/5248945482836176798_hlsb.m3u8
0005酒廊情歌【酒醉的探戈】,https://txmov2.a.kwimgs.com/bs3/video-hls/5198561464421856962_hlsb.m3u8
0007酒廊情歌【爱你爱在心坎里】,https://txmov2.a.kwimgs.com/bs3/video-hls/5242753034343486289_hlsb.m3u8
0008酒廊情歌【一年又一年】,https://txmov2.a.kwimgs.com/bs3/video-hls/5212072260092057079_hlsb.m3u8
0010酒廊情歌【走过咖啡屋】,https://txmov2.a.kwimgs.com/bs3/video-hls/5221079466801340603_hlsb.m3u8
0101歌手专辑【王馨01】,https://txmov2.a.kwimgs.com/bs3/video-hls/5241064182578720047_hlsb.m3u8
0103歌手专辑【王馨03】,https://txmov2.a.kwimgs.com/bs3/video-hls/5197998517345643200_hlsb.m3u8
0104歌手专辑【王馨04】,https://txmov2.a.kwimgs.com/bs3/video-hls/5192369016761410134_hlsb.m3u8
0106歌手专辑【李英01】,https://txmov2.a.kwimgs.com/bs3/video-hls/5235434687457682414_hlsb.m3u8
0108歌手专辑【李英03】,https://txmov2.a.kwimgs.com/bs3/video-hls/5217420289973348642_hlsb.m3u8
0109歌手专辑【李英04】,https://txmov2.a.kwimgs.com/bs3/video-hls/5247538111487735605_hlsb.m3u8
0110歌手专辑【李英05】,https://txmov2.a.kwimgs.com/bs3/video-hls/5214324064628880303_hlsb.m3u8
0111歌手专辑【李英06】,https://txmov2.a.kwimgs.com/bs3/video-hls/5212635217904221404_hlsb.m3u8
0113歌手专辑【李英08】,https://txmov2.a.kwimgs.com/bs3/video-hls/5198279992997045996_hlsb.m3u8
0487快手热歌【心心念念一个你】,https://txmov2.a.kwimgs.com/bs3/video-hls/5190680162007026195_hlsb.m3u8
0489快手热歌【何时再回首】,https://txmov2.a.kwimgs.com/bs3/video-hls/5193213438727387855_hlsb.m3u8
MTV,http://pluto-live.plutotv.net:80/egress/chandler/pluto01/live/VIACBS02/master_2400.m3u8
MTV Block Party,http://pluto-live.plutotv.net/egress/chandler/pluto01/live/VIACBS03/master_2400.m3u8
MTV音乐,http://pluto-live.plutotv.net/egress/chandler/pluto01/live/VIACBS02/master_2400.m3u8
Music Reload TV HD,http://web.onair-radio.eu:1935/video/video/chunklist.m3u8
5首绝美情歌,https://vd3.bdstatic.com/mda-mjtb7bbvk98u8z58/480p/h264/1635409459813822543/mda-mjtb7bbvk98u8z58.mp4
5首伤感DJ,https://vd2.bdstatic.com/mda-nd5cr584424xr57c/sc/cae_h264_delogo/1649238205192327499/mda-nd5cr584424xr57c.mp4
6首DJ歌曲,https://vd3.bdstatic.com/mda-nd58yc4sjrakii4r/sc/cae_h264_delogo/1649230374417253340/mda-nd58yc4sjrakii4r.mp4
7首伤感情歌,https://vd2.bdstatic.com/mda-nbdj7sp20st0jd9d/sc/cae_h264_delogo/1644847557994341172/mda-nbdj7sp20st0jd9d.mp4
8首串烧歌曲,https://vd3.bdstatic.com/mda-mmpgmu9qnrdctwza/hd/cae_h264/1640350134589718126/mda-mmpgmu9qnrdctwza.mp4
8首老歌,https://vd3.bdstatic.com/mda-ncw56qz9i48y8pi8/sc/cae_h264_delogo/1648721358570368798/mda-ncw56qz9i48y8pi8.mp4
9MUSES - Wild,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg_K204wUogPqGqQY.mp4
9首DJ舞曲,https://vd2.bdstatic.com/mda-mhig1c3sw223mx8p/1080p/cae_h264/1629380139191731149/mda-mhig1c3sw223mx8p.mp4
2021串烧DJ,https://vd3.bdstatic.com/mda-mdeu032ygvtkm95k/hd/mda-mdeu032ygvtkm95k.mp4
2021歌曲,https://vd2.bdstatic.com/mda-mmcdm04add2nws28/1080p/cae_h264/1639608593870785368/mda-mmcdm04add2nws28.mp4
2021酒吧夜店经典,https://vdse.bdstatic.com//f222c3fafbcc09db6f39991e5c982450.mp4
2021热门伤感DJ,https://vdse.bdstatic.com//06b4e9b185b843e694e4d20e9b0a0aac.mp4
2021伤感情歌6首,https://vdse.bdstatic.com//80e0473f97055cec1c9c76c1c7e5498a.mp4
2021伤感洗脑神曲,https://vdse.bdstatic.com//8ad29ca92a901b9992431cf0c5266101.mp4
2021伤感音乐,https://vdse.bdstatic.com//6d39df48360bdb12f73800397c4a6c02.mp4
2021中文舞曲,https://vdse.bdstatic.com//02a4b136a5e939a0401fc1b58eec7831.mp4
2021最佳伤感情歌,https://vdse.bdstatic.com//59c5abc138bf1da5585bb765c530137e.mp4
DJ车载音乐,https://vd3.bdstatic.com/mda-mjtm31vvhj027na9/720p/h264/1635433115826085505/mda-mjtm31vvhj027na9.mp4
DJ酒醉风雨情 伤心苦酒 朋友的酒 红尘没有错,https://vd4.bdstatic.com/mda-nd1a4zuxf78py830/sc/cae_h264_delogo/1649003829932795060/mda-nd1a4zuxf78py830.mp4
DJ情6首,https://vdse.bdstatic.com//c9e449d2db0a3fa5f6a8afafbc43fbdc.mp4
DJ情歌,https://vdse.bdstatic.com//4d7e8fe409b2ba9e08b179de8e146fa3.mp4
DJ情歌5首,https://vd3.bdstatic.com/mda-mmg7iqkrutbwd7az/sc/cae_h264/1639851941696222972/mda-mmg7iqkrutbwd7az.mp4
